step,loss,step_s,forward_s,backward_s,optimizer_s
240,10.464649,0.0842,0.0151,0.0355,0.0334
241,10.462876,0.0841,0.0150,0.0355,0.0334
242,10.559785,0.0838,0.0147,0.0354,0.0334
243,10.567670,0.0840,0.0150,0.0355,0.0334
244,10.550721,0.0838,0.0147,0.0354,0.0334
245,10.459344,0.0846,0.0153,0.0357,0.0335
246,10.530725,0.0841,0.0148,0.0356,0.0334
247,10.442945,0.0841,0.0149,0.0356,0.0334
248,10.510879,0.0840,0.0150,0.0355,0.0334
249,10.453297,0.0837,0.0147,0.0354,0.0334
250,10.435159,0.0843,0.0152,0.0355,0.0334
251,10.447059,0.0838,0.0147,0.0354,0.0334
252,10.425152,0.0842,0.0152,0.0354,0.0334
253,10.425231,0.0842,0.0149,0.0357,0.0334
254,10.489623,0.0841,0.0148,0.0357,0.0334
255,10.426303,0.0842,0.0150,0.0356,0.0334
256,10.445570,0.0837,0.0146,0.0355,0.0334
257,10.387776,0.0843,0.0152,0.0355,0.0334
258,10.381212,0.0842,0.0149,0.0356,0.0334
259,10.367472,0.0842,0.0152,0.0354,0.0334
260,10.435715,0.0841,0.0150,0.0355,0.0334
261,10.416428,0.0839,0.0148,0.0355,0.0334
262,10.476096,0.0841,0.0149,0.0356,0.0334
263,10.545174,0.0839,0.0147,0.0355,0.0334
264,10.364810,0.0844,0.0153,0.0355,0.0334
265,10.380313,0.0840,0.0149,0.0354,0.0334
266,10.556749,0.0842,0.0151,0.0355,0.0334
267,10.424440,0.0841,0.0149,0.0356,0.0334
268,10.517360,0.0837,0.0146,0.0355,0.0334
269,10.494166,0.0838,0.0149,0.0354,0.0334
270,10.442934,0.0840,0.0149,0.0355,0.0334
271,10.483463,0.0843,0.0152,0.0356,0.0334
272,10.406942,0.0841,0.0148,0.0357,0.0334
273,10.512584,0.0841,0.0149,0.0356,0.0334
274,10.512264,0.0839,0.0147,0.0356,0.0334
275,10.418459,0.0839,0.0147,0.0355,0.0335
276,10.441220,0.0810,0.0152,0.0323,0.0334
277,10.513124,0.0843,0.0152,0.0354,0.0334
278,10.429600,0.0809,0.0149,0.0325,0.0334
279,10.467094,0.0826,0.0153,0.0335,0.0335
280,10.339353,0.0811,0.0151,0.0324,0.0334
281,10.499743,0.0817,0.0150,0.0331,0.0334
282,10.316171,0.0844,0.0153,0.0355,0.0334
283,10.539882,0.0808,0.0149,0.0323,0.0334
284,10.506550,0.0816,0.0150,0.0330,0.0334
285,10.458262,0.0844,0.0153,0.0355,0.0334
286,10.522722,0.0842,0.0150,0.0356,0.0334
287,10.326629,0.0846,0.0151,0.0358,0.0335
288,10.439987,0.0841,0.0149,0.0356,0.0334
289,10.493087,0.0840,0.0148,0.0355,0.0334
290,10.495613,0.0848,0.0150,0.0355,0.0341
291,10.311533,0.0838,0.0146,0.0356,0.0334
292,10.421446,0.0843,0.0153,0.0354,0.0334
293,10.504785,0.0839,0.0148,0.0355,0.0334
294,10.442470,0.0843,0.0152,0.0355,0.0334
295,10.387458,0.0841,0.0149,0.0356,0.0334
296,10.539251,0.0840,0.0148,0.0356,0.0334
297,10.323533,0.0841,0.0150,0.0355,0.0334
298,10.536526,0.0838,0.0147,0.0355,0.0334
299,10.460054,0.0844,0.0153,0.0355,0.0334
300,10.484749,0.0841,0.0150,0.0356,0.0334
301,10.440372,0.0843,0.0151,0.0356,0.0334
302,10.492067,0.0841,0.0150,0.0355,0.0334
303,10.661123,0.0840,0.0148,0.0355,0.0334
304,10.402850,0.0842,0.0150,0.0355,0.0334
305,10.481904,0.0839,0.0147,0.0355,0.0334
306,10.468398,0.0842,0.0152,0.0354,0.0334
307,10.470739,0.0840,0.0150,0.0355,0.0334
308,10.430260,0.0841,0.0150,0.0355,0.0334
309,10.455602,0.0842,0.0151,0.0355,0.0334
310,10.467403,0.0841,0.0150,0.0355,0.0334
311,10.637610,0.0841,0.0150,0.0354,0.0334
312,10.445542,0.0841,0.0149,0.0356,0.0334
313,10.431982,0.0854,0.0153,0.0364,0.0335
314,10.503046,0.0841,0.0148,0.0356,0.0334
315,10.488809,0.0843,0.0152,0.0355,0.0334
316,10.371797,0.0841,0.0149,0.0355,0.0334
317,10.342757,0.0844,0.0151,0.0356,0.0335
318,10.365701,0.0831,0.0149,0.0344,0.0335
319,10.596653,0.0812,0.0150,0.0325,0.0334
320,10.452785,0.0809,0.0152,0.0320,0.0334
321,10.437505,0.0817,0.0155,0.0325,0.0335
322,10.343140,0.0817,0.0151,0.0329,0.0335
323,10.486887,0.0811,0.0153,0.0321,0.0334
324,10.364845,0.0814,0.0153,0.0324,0.0334
325,10.591804,0.0817,0.0150,0.0331,0.0334
326,10.484060,0.0835,0.0154,0.0345,0.0334
327,10.346836,0.0842,0.0152,0.0354,0.0334
328,10.614898,0.0836,0.0148,0.0351,0.0334
329,10.638988,0.0838,0.0150,0.0352,0.0334
330,10.591627,0.0827,0.0149,0.0341,0.0335
331,10.526771,0.0832,0.0154,0.0341,0.0334
