timeline_s,gpu_util_pct,gpu_mem_util_pct,gpu_mem_mb,cpu_util_pct,sys_mem_pct,sys_mem_mb,gpu_energy_delta_j,gpu_energy_j,gpu_power_w
101.5278,100,52,18659.25,1.3,4.0,20684.05,112.047000,22827.550000,200.500153
102.0891,100,53,18659.25,1.3,4.0,20693.52,136.272000,22963.822000,242.781018
102.6484,100,55,18659.25,1.3,4.0,20702.88,110.828000,23074.650000,198.139604
103.2083,100,51,18659.25,1.4,4.0,20711.98,137.867000,23212.517000,246.251668
103.7672,100,53,18659.25,1.3,4.0,20721.09,134.754000,23347.271000,241.093561
104.3275,100,52,18659.25,1.3,4.0,20730.68,111.401000,23458.672000,198.843203
104.8880,100,53,18659.25,1.3,4.0,20739.54,136.383000,23595.055000,243.319365
105.4491,100,55,18659.25,1.4,4.0,20748.89,110.555000,23705.610000,197.027530
106.0100,100,52,18659.25,1.4,4.0,20766.61,136.947000,23842.557000,244.159632
106.5687,100,53,18659.25,1.3,4.0,20776.45,134.393000,23976.950000,240.560901
107.1279,100,52,18659.25,1.3,4.0,20785.56,111.219000,24088.169000,198.859824
107.6883,100,52,18659.25,1.3,4.0,20794.91,136.253000,24224.422000,243.170329
108.2485,100,55,18659.25,1.4,4.0,20804.26,110.595000,24335.017000,197.387864
108.8095,100,52,18659.25,1.3,4.0,20812.88,136.220000,24471.237000,242.828530
109.3684,100,53,18659.25,1.3,4.0,20822.72,133.933000,24605.170000,239.654826
109.9273,100,52,18659.25,1.3,4.0,20831.82,112.867000,24718.037000,201.928417
110.4878,100,52,18659.25,1.5,4.0,20849.79,136.231000,24854.268000,243.046822
111.0473,100,55,18659.25,1.3,4.0,20858.65,110.586000,24964.854000,197.648550
111.6077,100,52,18659.25,1.3,4.0,20868.49,137.416000,25102.270000,245.241264
112.1679,100,53,18659.25,1.3,4.1,20877.84,134.151000,25236.421000,239.477248
112.7272,100,53,18659.25,1.4,4.1,20886.46,110.791000,25347.212000,198.057684
113.2868,100,52,18659.25,1.4,4.1,20896.04,136.208000,25483.420000,243.432503
