step,loss,step_s,forward_s,backward_s,optimizer_s,throughput_samp_per_s
399,8.874864,0.2838,0.0886,0.1755,0.0192,56.3815
402,8.865048,0.2835,0.0887,0.1751,0.0191,56.4424
405,8.881114,0.2833,0.0888,0.1749,0.0191,56.4687
408,8.858891,0.2830,0.0889,0.1744,0.0193,56.5469
411,8.870865,0.2828,0.0890,0.1743,0.0191,56.5787
414,8.854958,0.2812,0.0872,0.1744,0.0192,56.8925
417,8.854612,0.2814,0.0884,0.1734,0.0191,56.8500
420,8.859469,0.2831,0.0887,0.1748,0.0191,56.5146
423,8.869004,0.2821,0.0884,0.1739,0.0193,56.7258
426,8.874008,0.2828,0.0885,0.1747,0.0191,56.5777
429,8.866314,0.2833,0.0888,0.1748,0.0193,56.4683
432,8.860098,0.2827,0.0888,0.1743,0.0191,56.5991
435,8.880497,0.2828,0.0889,0.1744,0.0191,56.5712
438,8.859065,0.2804,0.0867,0.1740,0.0191,57.0587
441,8.873459,0.2807,0.0881,0.1731,0.0191,56.9916
444,8.863846,0.2821,0.0881,0.1741,0.0193,56.7268
447,8.872727,0.2813,0.0884,0.1734,0.0189,56.8688
450,8.856675,0.2830,0.0887,0.1746,0.0192,56.5451
453,8.872878,0.2828,0.0885,0.1746,0.0192,56.5857
456,8.881562,0.2836,0.0890,0.1747,0.0193,56.4076
459,8.875932,0.2832,0.0886,0.1749,0.0193,56.5021
462,8.883807,0.2810,0.0872,0.1741,0.0192,56.9447
465,8.861970,0.2812,0.0883,0.1732,0.0192,56.8956
468,8.866128,0.2868,0.0885,0.1787,0.0191,55.7929
471,8.867261,0.2829,0.0883,0.1750,0.0191,56.5529
474,8.863312,0.2820,0.0889,0.1735,0.0191,56.7298
477,8.871437,0.2821,0.0888,0.1737,0.0192,56.7202
480,8.878404,0.2832,0.0888,0.1748,0.0191,56.5031
483,8.866690,0.2827,0.0884,0.1748,0.0191,56.5874
486,8.862314,0.2806,0.0880,0.1729,0.0191,57.0258
489,8.860075,0.2805,0.0868,0.1742,0.0191,57.0453
492,8.865727,0.2821,0.0887,0.1734,0.0193,56.7101
495,8.870448,0.2823,0.0885,0.1742,0.0191,56.6841
498,8.878280,0.2829,0.0884,0.1748,0.0192,56.5563
501,8.854622,0.2805,0.0880,0.1730,0.0191,57.0448
504,8.861908,0.2827,0.0890,0.1740,0.0191,56.6058
507,8.868117,0.2823,0.0883,0.1745,0.0192,56.6675
510,8.869261,0.2829,0.0884,0.1748,0.0192,56.5620
513,8.861851,0.2804,0.0881,0.1726,0.0192,57.0590
516,8.858479,0.2825,0.0885,0.1744,0.0191,56.6402
519,8.866085,0.2797,0.0865,0.1736,0.0189,57.1961
522,8.888415,0.2808,0.0879,0.1733,0.0192,56.9802
525,8.860764,0.2803,0.0881,0.1725,0.0193,57.0824
528,8.835238,0.2825,0.0890,0.1738,0.0191,56.6376
531,8.860064,0.2825,0.0883,0.1746,0.0191,56.6455
534,8.854540,0.2800,0.0879,0.1725,0.0191,57.1443
537,8.881331,0.2829,0.0883,0.1749,0.0192,56.5475
540,8.850569,0.2816,0.0884,0.1736,0.0191,56.8127
543,8.879215,0.2820,0.0888,0.1736,0.0191,56.7427
546,8.849340,0.2829,0.0884,0.1748,0.0192,56.5547
