step,loss,step_s,forward_s,backward_s,optimizer_s,throughput_samp_per_s
158,8.884912,0.2812,0.0879,0.1738,0.0191,56.8998
159,11.764174,0.2783,0.0873,0.1715,0.0192,57.4825
160,9.980248,0.2819,0.0879,0.1740,0.0196,56.7608
161,8.914302,0.2785,0.0873,0.1718,0.0191,57.4407
162,8.923883,0.2812,0.0879,0.1737,0.0191,56.9081
163,8.923769,0.2798,0.0876,0.1727,0.0191,57.1901
164,8.931954,0.2804,0.0888,0.1721,0.0191,57.0542
165,8.933163,0.2779,0.0870,0.1714,0.0191,57.5845
166,8.904860,0.2815,0.0880,0.1740,0.0191,56.8484
167,8.911369,0.2784,0.0870,0.1718,0.0192,57.4724
168,8.915132,0.2811,0.0878,0.1736,0.0192,56.9287
169,8.908002,0.2786,0.0870,0.1720,0.0192,57.4347
170,8.902699,0.2785,0.0862,0.1727,0.0192,57.4538
171,8.901086,0.2797,0.0873,0.1728,0.0192,57.2001
172,8.912887,0.2816,0.0877,0.1742,0.0193,56.8194
173,8.898812,0.2790,0.0869,0.1725,0.0191,57.3423
174,8.890394,0.2814,0.0880,0.1740,0.0191,56.8559
175,8.907270,0.2806,0.0869,0.1742,0.0191,57.0178
176,8.892064,0.2795,0.0868,0.1731,0.0192,57.2500
177,8.885204,0.2785,0.0868,0.1723,0.0191,57.4410
178,8.920591,0.2794,0.0876,0.1722,0.0191,57.2718
179,8.906368,0.2772,0.0860,0.1717,0.0192,57.7236
180,8.892343,0.2791,0.0865,0.1731,0.0191,57.3230
181,8.901791,0.2780,0.0866,0.1718,0.0192,57.5552
182,8.900085,0.2788,0.0865,0.1728,0.0191,57.3910
183,8.899263,0.2781,0.0867,0.1718,0.0192,57.5358
184,8.904302,0.2781,0.0858,0.1727,0.0193,57.5261
185,8.890286,0.2783,0.0865,0.1724,0.0191,57.4830
186,8.884336,0.2814,0.0878,0.1740,0.0193,56.8515
187,8.904006,0.2809,0.0869,0.1745,0.0192,56.9536
188,8.910037,0.2785,0.0859,0.1730,0.0192,57.4454
189,8.896676,0.2784,0.0868,0.1720,0.0192,57.4614
190,8.901684,0.2794,0.0877,0.1721,0.0192,57.2562
191,8.915277,0.2768,0.0859,0.1715,0.0190,57.7953
192,8.898205,0.2789,0.0864,0.1730,0.0191,57.3780
193,8.880406,0.2781,0.0865,0.1720,0.0192,57.5397
194,8.885012,0.2794,0.0866,0.1731,0.0193,57.2586
195,8.888863,0.2778,0.0864,0.1718,0.0193,57.5902
196,8.885918,0.2778,0.0857,0.1725,0.0192,57.5879
197,8.888315,0.2802,0.0873,0.1732,0.0192,57.1088
198,8.889131,0.2809,0.0876,0.1738,0.0191,56.9586
199,8.899514,0.2783,0.0869,0.1719,0.0191,57.4837
200,8.926026,0.2811,0.0878,0.1736,0.0193,56.9232
201,8.906448,0.2786,0.0868,0.1724,0.0189,57.4374
202,8.892330,0.2807,0.0884,0.1720,0.0197,57.0067
203,8.882339,0.2769,0.0861,0.1713,0.0191,57.7753
204,8.916574,0.2798,0.0868,0.1734,0.0192,57.1907
205,8.925733,0.2771,0.0860,0.1716,0.0191,57.7464
206,8.912539,0.2789,0.0863,0.1731,0.0191,57.3639
207,8.895966,0.2782,0.0867,0.1718,0.0192,57.5178
208,8.899069,0.2769,0.0853,0.1720,0.0191,57.7872
209,8.906481,0.2776,0.0862,0.1718,0.0191,57.6436
