timeline_s,gpu_util_pct_mean,gpu_util_pct_std,gpu_mem_mb_mean,gpu_mem_mb_std,cpu_util_pct_mean,cpu_util_pct_std,num_samples
102.5,95.666667,2.357023,10923.250000,0.000000,0.533333,0.047140,3
103.0,94.333333,0.471405,10923.250000,0.000000,0.500000,0.000000,3
103.5,94.000000,0.000000,10923.250000,0.000000,0.500000,0.000000,2
104.0,94.666667,0.471405,10923.250000,0.000000,0.500000,0.000000,3
104.5,94.500000,0.500000,10923.250000,0.000000,0.500000,0.000000,2
105.0,96.666667,2.494438,10923.250000,0.000000,0.533333,0.047140,3
105.5,100.000000,0.000000,10923.250000,0.000000,0.500000,0.000000,2
106.0,98.000000,2.828427,10923.250000,0.000000,0.500000,0.000000,3
106.5,98.333333,2.357023,10923.250000,0.000000,0.500000,0.000000,3
107.0,98.000000,2.000000,10923.250000,0.000000,0.500000,0.000000,2
107.5,100.000000,0.000000,10923.250000,0.000000,0.500000,0.000000,2
108.0,99.666667,0.471405,10923.250000,0.000000,0.533333,0.047140,3
108.5,99.333333,0.471405,10923.250000,0.000000,0.500000,0.000000,3
109.0,93.500000,0.500000,10923.250000,0.000000,0.500000,0.000000,2
109.5,96.000000,2.828427,10923.250000,0.000000,0.500000,0.000000,3
110.0,95.666667,2.357023,10923.250000,0.000000,0.500000,0.000000,3
110.5,94.500000,0.500000,10923.250000,0.000000,0.500000,0.000000,2
111.0,94.000000,0.000000,10923.250000,0.000000,0.550000,0.050000,2
111.5,94.000000,0.000000,10923.250000,0.000000,0.566667,0.094281,3
112.0,94.000000,0.000000,10923.250000,0.000000,0.566667,0.047140,3
112.5,94.000000,0.000000,10923.250000,0.000000,0.500000,0.000000,2
113.0,94.666667,0.471405,10923.250000,0.000000,0.500000,0.000000,3
113.5,96.666667,1.885618,10923.250000,0.000000,0.500000,0.000000,3
114.0,97.500000,2.500000,10923.250000,0.000000,0.500000,0.000000,2
114.5,99.000000,1.000000,10923.250000,0.000000,0.500000,0.000000,2
115.0,100.000000,0.000000,10923.250000,0.000000,0.533333,0.047140,3
115.5,100.000000,0.000000,10923.250000,0.000000,0.500000,0.000000,3
116.0,100.000000,0.000000,10923.250000,0.000000,0.500000,0.000000,2
116.5,100.000000,0.000000,10923.250000,0.000000,0.500000,0.000000,3
117.0,99.500000,0.500000,10923.250000,0.000000,0.500000,0.000000,2
117.5,97.666667,1.885618,10923.250000,0.000000,0.533333,0.047140,3
118.0,94.000000,0.000000,10923.250000,0.000000,0.500000,0.000000,2
118.5,94.000000,0.000000,10923.250000,0.000000,0.500000,0.000000,3
119.0,94.000000,0.000000,10923.250000,0.000000,0.500000,0.000000,3
119.5,94.000000,0.000000,10923.250000,0.000000,0.500000,0.000000,2
120.0,94.000000,0.000000,10923.250000,0.000000,0.500000,0.000000,3
120.5,94.000000,0.000000,10923.250000,0.000000,0.500000,0.000000,2
121.0,94.000000,0.000000,10923.250000,0.000000,0.533333,0.047140,3
121.5,95.000000,0.000000,10923.250000,0.000000,0.500000,0.000000,2
122.0,96.666667,2.357023,10923.250000,0.000000,0.533333,0.047140,3
122.5,99.666667,0.471405,10923.250000,0.000000,0.500000,0.000000,3
123.0,100.000000,0.000000,10923.250000,0.000000,0.500000,0.000000,2
123.5,100.000000,0.000000,10923.250000,0.000000,0.500000,0.000000,3
124.0,100.000000,0.000000,10923.250000,0.000000,0.500000,0.000000,2
124.5,99.500000,0.500000,10923.250000,0.000000,0.500000,0.000000,2
125.0,99.666667,0.471405,10923.250000,0.000000,0.533333,0.047140,3
125.5,99.000000,0.000000,10923.250000,0.000000,0.500000,0.000000,3
126.0,99.000000,0.000000,10923.250000,0.000000,0.500000,0.000000,2
126.5,94.333333,0.471405,10923.250000,0.000000,0.500000,0.000000,3
127.0,94.000000,0.000000,10923.250000,0.000000,0.566667,0.047140,3
127.5,94.000000,0.000000,10923.250000,0.000000,0.550000,0.050000,2
128.0,94.000000,0.000000,10923.250000,0.000000,0.500000,0.000000,2
128.5,94.000000,0.000000,10923.250000,0.000000,0.500000,0.000000,3
129.0,94.000000,0.000000,10923.250000,0.000000,0.500000,0.000000,3
129.5,94.000000,0.000000,10923.250000,0.000000,0.500000,0.000000,2
130.0,95.000000,0.000000,10923.250000,0.000000,0.500000,0.000000,3
130.5,95.000000,0.000000,10923.250000,0.000000,0.500000,0.000000,2
131.0,98.333333,2.357023,10923.250000,0.000000,0.500000,0.000000,3
131.5,100.000000,0.000000,10923.250000,0.000000,0.500000,0.000000,2
132.0,100.000000,0.000000,10923.250000,0.000000,0.566667,0.047140,3
132.5,100.000000,0.000000,10923.250000,0.000000,0.533333,0.047140,3
