timeline_s,dt_s,gpu_energy_delta_j_mean,gpu_energy_delta_j_std,inferred_energy_per_step_j,inferred_energy_per_step_j_std,num_samples
266.0,0.5,149.291333,23.582877,84.039674337692,13.275367452348,3
266.5,0.5,166.557667,23.651962,93.759308138308,13.314257056888,3
267.0,0.5,182.741,0.0,102.86929468400001,0.0,1
267.5,0.5,133.844667,1.632373,75.344375326308,0.918901938652,3
268.0,0.5,190.351,10.993,107.15314632399999,6.188223532,2
268.5,0.5,142.481333,28.773388,80.206161897692,16.197230666512,3
269.0,0.5,132.773,0.0,74.74110825199999,0.0,1
269.5,0.5,191.411,10.927,107.749845764,6.151070548,2
270.0,0.5,150.295333,22.068304,84.604850033692,12.422777960896001,3
270.5,0.5,132.534,0.0,74.606569416,0.0,1
271.0,0.5,191.258,9.57,107.663718392,5.38718268,2
271.5,0.5,143.586333,27.972837,80.828192917692,15.746581295388,3
272.0,0.5,132.668,0.0,74.682001232,0.0,1
272.5,0.5,190.939,9.358,107.484145636,5.267842792,2
273.0,0.5,143.358667,29.258036,80.700034262308,16.470050657264,3
273.5,0.5,132.797,0.0,74.754618428,0.0,1
274.0,0.5,196.023667,9.426437,110.346426722308,5.306367621788,3
274.5,0.5,120.803333,8.49652,68.003095425692,4.78289502448,3
275.0,0.5,204.35,0.761,115.03351939999999,0.428385164,2
275.5,0.5,182.638,0.0,102.811313512,0.0,1
276.0,0.5,126.437,9.955555,71.17442178799999,5.60422084282,3
276.5,0.5,193.3965,10.0535,108.867531366,5.659356433999999,2
277.0,0.5,142.520333,29.918119,80.228115933692,16.841627219956,3
277.5,0.5,133.131,0.0,74.942635044,0.0,1
278.0,0.5,192.208,9.037,108.198496192,5.087144188,2
278.5,0.5,148.443,23.682349,83.562127332,13.331362628475999,3
279.0,0.5,132.991,0.0,74.863825684,0.0,1
279.5,0.5,182.736,1.143,102.86648006399999,0.643422132,2
280.0,0.5,149.925333,22.513835,84.39656815369199,12.67357805354,3
280.5,0.5,132.993,0.0,74.86495153199999,0.0,1
281.0,0.5,187.957,9.339073,105.80550626799999,5.257188329452,3
281.5,0.5,133.717333,1.378762,75.272695961692,0.776138220088,3
282.0,0.5,180.523,0.0,101.62072925199999,0.0,1
282.5,0.5,182.782,0.564,102.89237456800001,0.31748913599999995,2
283.0,0.5,132.523333,0.735698,74.60056470569201,0.41414206095199996,3
283.5,0.5,179.771,0.0,101.197410404,0.0,1
284.0,0.5,166.456,24.063515,93.70207734399999,13.54593011786,3
284.5,0.5,132.807,0.358,74.76024766799999,0.20152679199999998,2
285.0,0.5,181.9885,1.8105,102.44569437399998,1.019173902,2
285.5,0.5,158.7055,24.4195,89.339134882,13.746322617999999,2
286.0,0.5,134.3335,1.3065,75.61955115399999,0.735460206,2
286.5,0.5,201.1725,1.4055,113.24482839000001,0.791189682,2
287.0,0.5,143.858333,29.206372,80.98130824569199,16.440967751728,3
287.5,0.5,133.229,0.0,74.997801596,0.0,1
288.0,0.5,189.003333,8.347087,106.394512225692,4.698775602388,3
288.5,0.5,132.792,0.834317,74.75180380799999,0.46965706290799997,3
289.5,1.0,182.698333,1.476221,51.422638202845995,0.41550011510199997,3
290.0,0.5,132.772667,0.306608,74.74092079830801,0.172597001792,3
290.5,0.5,181.724,0.0,102.29680097599999,0.0,1
291.0,0.5,182.9495,0.1735,102.986664338,0.09766731399999999,2
291.5,0.5,133.752333,1.743707,75.29239830169199,0.9815745192679999,3
292.0,0.5,181.9,0.0,102.3958756,0.0,1
292.5,0.5,172.252667,29.36771,96.965160318308,16.53178878404,3
293.0,0.5,134.2775,1.1275,75.58802741,0.63469681,2
293.5,0.5,182.508667,1.327962,102.738508862308,0.747541680888,3
294.0,0.5,131.767,0.0,74.17480670799999,0.0,1
294.5,0.5,132.7525,0.5295,74.72956830999999,0.298068258,2
295.0,0.5,182.674667,1.803557,102.831954246308,1.015265520668,3
295.5,0.5,133.231,0.209,74.99892744399999,0.11765111599999999,2
296.0,0.5,133.669,0.0,75.24548815600001,0.0,1
296.5,0.5,182.582667,1.830748,102.78016523830799,1.030571987152,3
297.0,0.5,134.161,0.755261,75.522446764,0.425154543164,3
298.0,1.0,195.444333,9.069641,55.010152854846,2.552759295142,3
298.5,0.5,121.166,8.754515,68.207249384,4.92812660186,3
299.0,0.5,201.102,0.0,113.205142248,0.0,1
299.5,0.5,193.4145,10.3255,108.877663998,5.8124717619999995,2
300.0,0.5,130.98,0.0,73.73178551999999,0.0,1
