timeline_s,gpu_util_pct_mean,gpu_util_pct_std,gpu_mem_mb_mean,gpu_mem_mb_std,cpu_util_pct_mean,cpu_util_pct_std,gpu_energy_delta_j_mean,gpu_energy_delta_j_std,gpu_power_w_mean,gpu_power_w_std,num_samples
289.5,97.000000,2.000000,10923.250000,0.000000,1.400000,0.000000,130.613000,0.104000,225.745344,0.541032,2
290.0,97.333333,2.054805,10923.250000,0.000000,1.400000,0.000000,118.960333,9.425695,205.190247,16.354390,3
290.5,98.000000,2.828427,10923.250000,0.000000,1.400000,0.081650,134.349000,1.729236,231.321964,2.822702,3
291.0,96.000000,2.828427,10923.250000,0.000000,1.433333,0.094281,131.823333,0.665485,227.706932,1.519745,3
291.5,99.500000,0.500000,10923.250000,0.000000,1.400000,0.000000,129.132000,0.936000,217.955826,6.717821,2
292.0,96.000000,2.160247,10923.250000,0.000000,1.400000,0.000000,125.146667,8.405246,216.238751,14.018839,3
292.5,94.333333,0.471405,10923.250000,0.000000,1.433333,0.124722,126.230333,10.578468,217.255285,18.276671,3
293.0,96.000000,0.000000,10923.250000,0.000000,1.400000,0.000000,112.209000,0.000000,194.184940,0.000000,1
293.5,96.000000,2.828427,10923.250000,0.000000,1.533333,0.124722,132.937000,1.302837,229.097800,2.046023,3
294.0,96.000000,2.828427,10923.250000,0.000000,1.500000,0.141421,131.288333,0.233959,226.695644,0.261655,3
294.5,96.333333,2.624669,10923.250000,0.000000,1.166667,0.329983,131.464667,0.700043,226.946738,1.338159,3
295.0,96.500000,1.500000,10923.250000,0.000000,1.450000,0.050000,122.571500,9.132500,211.436489,15.671232,2
295.5,98.666667,1.247219,10923.250000,0.000000,1.366667,0.047140,126.434333,10.070433,218.215326,17.376631,3
296.0,98.000000,2.828427,10923.250000,0.000000,1.400000,0.081650,126.232667,10.670571,217.560617,18.717688,3
296.5,97.000000,3.000000,10923.250000,0.000000,1.350000,0.050000,134.113500,2.212500,231.492081,3.922128,2
297.0,97.500000,2.500000,10923.250000,0.000000,1.450000,0.050000,131.127000,0.045000,225.959394,0.248895,2
297.5,97.666667,2.624669,10923.250000,0.000000,1.433333,0.047140,131.116000,0.945038,226.618961,1.533414,3
298.0,96.000000,2.160247,10923.250000,0.000000,1.366667,0.047140,124.646667,8.990895,214.308422,15.716113,3
298.5,94.000000,0.000000,10923.250000,0.000000,1.400000,0.100000,122.834500,11.044500,212.536950,20.113454,2
299.0,94.666667,0.942809,10923.250000,0.000000,1.433333,0.047140,126.373333,10.314635,214.995354,16.682458,3
299.5,96.000000,2.828427,10923.250000,0.000000,1.466667,0.094281,132.284000,0.880836,228.692383,1.741047,3
