timeline_s,gpu_util_pct,gpu_mem_util_pct,gpu_mem_mb,cpu_util_pct,sys_mem_pct,sys_mem_mb,gpu_energy_delta_j,gpu_energy_j,gpu_power_w
73.8903,100,45,10923.25,0.5,3.9,19922.88,202.896000,16525.894000,240.237434
74.7360,99,45,10923.25,0.5,3.9,19922.88,178.465000,16704.359000,211.025466
75.5858,99,50,10923.25,0.5,3.9,19922.88,204.604000,16908.963000,240.766391
76.4334,99,50,10923.25,0.5,3.9,19922.88,180.252000,17089.215000,212.663635
77.2884,100,45,10923.25,0.5,3.9,19922.88,203.774000,17292.989000,238.332522
78.1334,99,44,10923.25,0.5,3.9,19922.88,180.260000,17473.249000,213.319617
78.9890,99,50,10923.25,0.5,3.9,19922.88,203.383000,17676.632000,237.715143
79.8375,99,50,10923.25,0.5,3.9,19922.88,176.547000,17853.179000,208.082529
80.6897,100,45,10923.25,0.5,3.9,19922.88,201.856000,18055.035000,236.858113
81.5335,99,45,10923.25,0.5,3.9,19922.88,179.559000,18234.594000,212.784984
82.3852,99,50,10923.25,0.5,3.9,19922.88,204.036000,18438.630000,239.573955
83.2310,99,51,10923.25,0.5,3.9,19922.88,180.018000,18618.648000,212.829740
84.0822,100,45,10923.25,0.5,3.9,19922.88,204.543000,18823.191000,240.323039
84.9308,100,44,10923.25,0.5,3.9,19922.88,179.987000,19003.178000,212.081912
85.7785,99,51,10923.25,0.5,3.9,19922.88,203.125000,19206.303000,239.635909
86.6233,99,50,10923.25,0.5,3.9,19922.88,179.350000,19385.653000,212.299633
87.4704,100,45,10923.25,0.5,3.9,19920.91,200.609000,19586.262000,236.803231
88.3399,99,48,10923.25,0.5,3.9,19920.91,174.766000,19761.028000,200.996227
89.1894,99,50,10923.25,0.5,3.9,19920.91,202.967000,19963.995000,238.933967
90.0449,99,47,10923.25,0.5,3.9,19920.91,199.231000,20163.226000,232.871466
90.8933,100,45,10923.25,0.5,3.9,19920.91,183.409000,20346.635000,216.176619
91.7479,99,49,10923.25,0.5,3.9,19920.91,198.322000,20544.957000,232.062541
92.6042,99,50,10923.25,0.5,3.9,19920.91,181.235000,20726.192000,211.650492
93.4507,99,52,10923.25,0.5,3.9,19920.91,200.322000,20926.514000,236.671347
94.3059,100,44,10923.25,0.5,3.9,19920.91,180.968000,21107.482000,211.609982
95.1552,99,51,10923.25,0.5,3.9,19920.91,202.115000,21309.597000,237.966848
96.0010,99,50,10923.25,0.5,3.9,19920.91,181.436000,21491.033000,214.518441
96.8486,99,52,10923.25,0.5,3.9,19920.91,199.929000,21690.962000,235.879780
97.7255,100,43,10923.25,0.5,3.9,19920.91,177.104000,21868.066000,201.959128
98.5824,99,50,10923.25,0.6,3.9,19920.91,203.571000,22071.637000,237.569630
99.4322,99,50,10923.25,0.5,3.9,19920.91,176.939000,22248.576000,208.220172
100.2855,100,45,10923.25,0.5,3.9,19920.91,201.241000,22449.817000,235.820747
101.1414,99,49,10923.25,0.5,3.9,19920.91,199.256000,22649.073000,232.806096
101.9872,99,50,10923.25,0.5,3.9,19920.91,183.872000,22832.945000,217.407427
102.8411,99,47,10923.25,0.6,3.9,19920.70,199.700000,23032.645000,233.848883
103.6869,100,45,10923.25,0.6,3.9,19920.70,183.625000,23216.270000,217.113628
104.5332,99,47,10923.25,0.5,3.9,19920.70,179.663000,23395.933000,212.280889
105.3804,99,50,10923.25,0.5,3.9,19920.70,203.229000,23599.162000,239.883736
106.2287,99,50,10923.25,0.5,3.9,19920.70,178.574000,23777.736000,210.519662
107.0832,100,45,10923.25,0.5,3.9,19920.70,203.119000,23980.855000,237.686204
107.9396,99,48,10923.25,0.5,3.9,19920.70,199.433000,24180.288000,232.882699
108.7845,99,50,10923.25,0.5,3.9,19920.70,183.877000,24364.165000,217.622188
109.6399,99,47,10923.25,0.5,3.9,19920.70,199.504000,24563.669000,233.239276
110.4896,100,45,10923.25,0.5,3.9,19920.70,183.576000,24747.245000,216.043553
111.3428,99,50,10923.25,0.5,3.9,19921.20,198.784000,24946.029000,232.999072
112.1994,99,50,10923.25,0.5,3.9,19921.44,181.287000,25127.316000,211.625286
113.0443,99,52,10923.25,0.5,3.9,19921.44,200.440000,25327.756000,237.238470
113.9011,100,44,10923.25,0.5,3.9,19921.44,180.796000,25508.552000,211.008486
114.7509,99,51,10923.25,0.5,3.9,19921.43,201.758000,25710.310000,237.418310
115.5966,99,51,10923.25,0.5,3.9,19921.43,181.804000,25892.114000,214.986885
116.4436,99,52,10923.25,0.5,3.9,19921.43,199.650000,26091.764000,235.710838
117.2987,100,44,10923.25,0.5,3.9,19921.43,181.219000,26272.983000,211.921657
118.1534,99,50,10923.25,0.6,3.9,19921.43,201.182000,26474.165000,235.379052
119.0007,99,50,10923.25,0.5,3.9,19921.43,181.284000,26655.449000,213.972018
119.8567,99,46,10923.25,0.5,3.9,19921.43,200.175000,26855.624000,233.833164
120.7063,100,44,10923.25,0.5,3.9,19921.43,179.440000,27035.064000,211.212356
121.5591,99,50,10923.25,0.5,3.9,19921.43,199.876000,27234.940000,234.375076
122.4184,99,50,10923.25,0.5,3.9,19921.18,179.191000,27414.131000,208.522922
123.2749,100,45,10923.25,0.5,3.9,19921.18,203.945000,27618.076000,238.118166
124.1212,99,44,10923.25,0.5,3.9,19921.18,179.796000,27797.872000,212.465964
124.9671,99,50,10923.25,0.5,3.9,19921.18,203.779000,28001.651000,240.888372
125.8134,99,50,10923.25,0.6,3.9,19921.40,179.739000,28181.390000,212.392684
126.6606,100,45,10923.25,0.5,3.9,19921.40,201.156000,28382.546000,237.414069
127.5138,100,44,10923.25,0.5,3.9,19921.40,180.675000,28563.221000,211.763751
128.3595,99,50,10923.25,0.5,3.9,19921.40,202.933000,28766.154000,239.958590
129.2133,99,50,10923.25,0.5,3.9,19921.40,180.814000,28946.968000,211.778051
130.0589,100,45,10923.25,0.5,3.9,19921.40,203.028000,29149.996000,240.117903
130.9129,100,44,10923.25,0.5,3.9,19921.39,180.441000,29330.437000,211.280754
131.7621,99,50,10923.25,0.5,3.9,19921.39,201.702000,29532.139000,237.513232
132.6162,99,50,10923.25,0.5,3.9,19921.39,178.295000,29710.434000,208.744802
133.4733,100,45,10923.25,0.5,3.9,19921.39,203.682000,29914.116000,237.653229
134.3185,99,45,10923.25,0.5,3.9,19921.39,179.444000,30093.560000,212.314063
