timeline_s,gpu_util_pct,gpu_mem_util_pct,gpu_mem_mb,cpu_util_pct,sys_mem_pct,sys_mem_mb
171.2231,95,46,6111.25,0.5,3.4,17507.03
171.8512,95,41,6111.25,0.5,3.4,17507.03
172.4848,95,43,6111.25,0.5,3.4,17507.03
173.1141,95,44,6111.25,0.5,3.4,17507.03
173.7484,92,46,6111.25,0.5,3.4,17507.03
174.3811,95,46,6111.25,0.5,3.4,17507.03
175.0127,95,40,6111.25,0.5,3.4,17507.03
175.6463,95,41,6111.25,0.5,3.4,17507.02
176.2778,95,41,6111.25,0.5,3.4,17507.02
176.9085,95,44,6111.25,0.5,3.4,17507.01
177.5415,92,44,6111.25,0.5,3.4,17507.01
178.1718,93,48,6111.25,0.6,3.4,17507.01
178.8050,95,41,6111.25,0.5,3.4,17507.00
179.4376,95,40,6111.25,0.5,3.4,17507.00
180.0686,95,41,6111.25,0.5,3.4,17507.00
180.7050,95,43,6111.25,0.6,3.4,17507.00
181.3433,92,44,6111.25,0.5,3.4,17507.00
181.9750,95,47,6111.25,0.5,3.4,17507.00
182.6069,95,40,6111.25,0.6,3.4,17507.00
183.2459,95,40,6111.25,0.5,3.4,17507.16
183.8804,95,43,6111.25,0.5,3.4,17507.16
184.5118,95,44,6111.25,0.5,3.4,17507.16
185.1456,92,46,6111.25,0.5,3.4,17507.40
185.7802,95,45,6111.25,0.5,3.4,17507.40
186.4091,95,40,6111.25,0.5,3.4,17507.40
187.0436,95,41,6111.25,0.5,3.4,17507.40
187.6743,95,41,6111.25,0.5,3.4,17507.40
188.3075,95,44,6111.25,0.6,3.4,17507.40
188.9439,92,46,6111.25,0.5,3.4,17507.40
189.5773,95,45,6111.25,0.5,3.4,17507.40
190.2076,95,40,6111.25,0.5,3.4,17507.40
190.8397,95,41,6111.25,0.5,3.4,17507.40
191.4716,95,41,6111.25,0.5,3.4,17507.40
192.1034,95,44,6111.25,0.5,3.4,17507.40
192.7417,92,44,6111.25,0.5,3.4,17507.40
193.3763,95,46,6111.25,0.5,3.4,17507.40
194.0096,95,40,6111.25,0.5,3.4,17507.40
194.6418,95,40,6111.25,0.5,3.4,17507.40
195.2774,95,43,6111.25,0.5,3.4,17507.40
195.9050,95,44,6111.25,0.5,3.4,17507.40
196.5407,92,45,6111.25,0.5,3.4,17507.40
197.1758,95,45,6111.25,0.5,3.4,17507.40
197.8066,95,41,6111.25,0.5,3.4,17507.40
198.4417,95,41,6111.25,0.5,3.4,17507.40
199.0757,95,43,6111.25,0.5,3.4,17507.40
199.7043,95,44,6111.25,0.5,3.4,17507.40
200.3374,92,45,6111.25,0.5,3.4,17507.40
200.9668,95,48,6111.25,0.5,3.4,17507.40
201.5995,95,40,6111.25,0.5,3.4,17507.40
202.2318,95,41,6111.25,0.5,3.4,17507.40
202.8618,95,41,6111.25,0.5,3.4,17507.40
203.4974,95,44,6111.25,0.5,3.4,17507.40
204.1277,92,43,6111.25,0.5,3.4,17507.40
