timeline_s,gpu_util_pct,gpu_mem_util_pct,gpu_mem_mb,cpu_util_pct,sys_mem_pct,sys_mem_mb
117.4902,95,41,6111.25,0.5,3.4,17506.88
118.1232,95,44,6111.25,0.6,3.4,17506.88
118.7530,92,42,6111.25,0.5,3.4,17506.88
119.3858,91,47,6111.25,0.5,3.4,17506.88
120.0215,95,41,6111.25,0.5,3.4,17506.88
120.6521,95,41,6111.25,0.5,3.4,17506.88
121.2836,95,41,6111.25,0.5,3.4,17506.88
121.9195,95,44,6111.25,0.5,3.4,17506.88
122.5487,92,42,6111.25,0.5,3.4,17506.88
123.1828,91,47,6111.25,0.5,3.4,17506.88
123.8170,95,40,6111.25,0.5,3.4,17506.88
124.4479,95,42,6111.25,0.5,3.4,17506.88
125.0837,95,41,6111.25,0.5,3.4,17506.88
125.7200,95,44,6111.25,0.5,3.4,17506.88
126.3489,92,42,6111.25,0.5,3.4,17506.88
126.9821,91,47,6111.25,0.5,3.4,17506.88
127.6121,95,41,6111.25,0.5,3.4,17506.88
128.2435,95,43,6111.25,0.6,3.4,17506.88
128.8747,95,40,6111.25,0.5,3.4,17506.88
129.5052,95,43,6111.25,0.5,3.4,17506.88
130.1403,95,42,6111.25,0.6,3.4,17505.89
130.7705,91,47,6111.25,0.5,3.4,17506.30
131.4022,95,43,6111.25,0.5,3.4,17506.30
132.0342,95,47,6111.25,0.5,3.4,17506.30
132.6645,95,40,6111.25,0.5,3.4,17506.05
133.2986,95,43,6111.25,0.5,3.4,17506.05
133.9276,95,44,6111.25,0.5,3.4,17506.05
134.5609,92,46,6111.25,0.5,3.4,17506.05
135.1938,95,45,6111.25,0.5,3.4,17506.05
135.8255,95,41,6111.25,0.5,3.4,17506.05
136.4594,95,40,6111.25,0.5,3.4,17506.05
137.0948,95,43,6111.25,0.5,3.4,17506.05
137.7244,95,44,6111.25,0.5,3.4,17506.05
138.3564,92,45,6111.25,0.6,3.4,17506.05
138.9863,95,48,6111.25,0.5,3.4,17506.05
