timeline_s,gpu_util_pct_mean,gpu_util_pct_std,gpu_mem_mb_mean,gpu_mem_mb_std,cpu_util_pct_mean,cpu_util_pct_std,gpu_energy_delta_j_mean,gpu_energy_delta_j_std,gpu_power_w_mean,gpu_power_w_std,num_samples
56.0,100.000000,0.000000,18659.250000,0.000000,0.900000,0.000000,116.239000,0.000000,211.696636,0.000000,1
56.5,100.000000,0.000000,18659.250000,0.000000,0.600000,0.000000,251.816000,0.000000,235.770020,0.000000,1
57.0,99.666667,0.471405,18659.250000,0.000000,0.666667,0.094281,213.450667,56.141296,232.491623,3.072175,3
57.5,100.000000,0.000000,18659.250000,0.000000,0.850000,0.250000,132.398500,2.614500,227.851472,5.578321,2
58.0,100.000000,0.000000,18659.250000,0.000000,0.833333,0.205480,116.084000,1.786170,210.877013,5.326102,3
58.5,99.666667,0.471405,18659.250000,0.000000,0.766667,0.235702,134.004000,0.974155,243.660654,3.337199,3
59.5,100.000000,0.000000,18659.250000,0.000000,0.600000,0.000000,240.661000,10.698000,223.403729,8.355988,2
60.0,100.000000,0.000000,18659.250000,0.000000,0.633333,0.047140,168.456333,62.278906,220.360662,12.848343,3
60.5,100.000000,0.000000,18659.250000,0.000000,0.700000,0.141421,128.372000,10.429030,231.691439,24.486000,3
61.0,100.000000,0.000000,18659.250000,0.000000,0.900000,0.200000,123.971000,12.885000,224.226403,24.894603,2
61.5,100.000000,0.000000,18659.250000,0.000000,0.850000,0.250000,113.707500,1.668500,208.043979,3.921567,2
62.0,100.000000,0.000000,18659.250000,0.000000,0.600000,0.000000,245.683000,0.000000,224.258317,0.000000,1
62.5,100.000000,0.000000,18659.250000,0.000000,0.750000,0.150000,252.752000,0.581000,232.555302,0.856677,2
63.0,100.000000,0.000000,18659.250000,0.000000,0.666667,0.047140,135.665000,2.703033,233.667754,4.068363,3
63.5,100.000000,0.000000,18659.250000,0.000000,0.666667,0.094281,119.994000,8.970837,218.035311,14.325005,3
