timeline_s,gpu_util_pct,gpu_mem_util_pct,gpu_mem_mb,cpu_util_pct,sys_mem_pct,sys_mem_mb,gpu_energy_delta_j,gpu_energy_j,gpu_power_w
77.0419,99,50,10923.25,1.1,4.3,21972.06,182.303000,17289.590000,221.482635
77.6242,100,50,10923.25,1.0,4.3,21972.06,132.167000,17421.757000,227.005125
78.4528,99,50,10923.25,1.0,4.3,21972.06,179.205000,17600.962000,216.267559
79.0393,100,50,10923.25,1.1,4.3,21972.06,136.034000,17736.996000,231.937790
79.8682,99,47,10923.25,1.1,4.3,21972.29,200.682000,17937.678000,242.105356
80.4463,100,49,10923.25,1.0,4.3,21972.73,115.101000,18052.779000,199.094636
81.2722,99,53,10923.25,1.1,4.3,21972.73,200.480000,18253.259000,242.750122
81.8611,100,50,10923.25,1.0,4.3,21972.73,113.045000,18366.304000,191.961612
82.6900,99,45,10923.25,1.0,4.3,21972.73,200.506000,18566.810000,241.886330
83.2740,99,51,10923.25,1.0,4.3,21972.73,132.866000,18699.676000,227.523090
84.0955,100,45,10923.25,1.0,4.3,21972.73,182.996000,18882.672000,222.746475
84.6745,100,51,10923.25,1.0,4.3,21972.73,133.600000,19016.272000,230.748675
85.4960,100,46,10923.25,1.0,4.3,21972.73,183.390000,19199.662000,223.232163
86.0743,100,51,10923.25,1.0,4.3,21972.73,133.533000,19333.195000,230.902991
86.8967,100,45,10923.25,1.1,4.3,21972.73,180.675000,19513.870000,219.697899
87.4753,100,52,10923.25,1.1,4.3,21972.73,133.135000,19647.005000,230.085215
88.2974,100,45,10923.25,1.1,4.3,21972.73,180.790000,19827.795000,219.922924
88.8754,100,53,10923.25,1.0,4.3,21972.73,133.196000,19960.991000,230.457292
89.6976,100,45,10923.25,1.1,4.3,21973.22,180.924000,20141.915000,220.042402
90.2763,100,53,10923.25,1.0,4.3,21973.22,132.948000,20274.863000,229.749679
91.0988,100,45,10923.25,1.0,4.3,21973.22,181.286000,20456.149000,220.391926
91.6775,100,53,10923.25,1.1,4.3,21973.22,132.555000,20588.704000,229.067568
92.5004,100,45,10923.25,1.0,4.3,21973.20,181.300000,20770.004000,220.321926
93.0803,100,53,10923.25,1.0,4.3,21973.20,132.168000,20902.172000,227.906691
93.9033,100,45,10923.25,1.1,4.3,21973.12,181.206000,21083.378000,220.183251
94.4839,100,52,10923.25,1.1,4.3,21973.12,131.194000,21214.572000,225.958222
95.3085,100,45,10923.25,1.0,4.3,21973.12,179.850000,21394.422000,218.102273
95.9137,100,45,10923.25,1.0,4.3,21973.12,128.354000,21522.776000,212.083534
96.7401,100,44,10923.25,1.1,4.3,21973.12,182.033000,21704.809000,220.268467
97.3201,100,45,10923.25,1.1,4.3,21973.12,133.607000,21838.416000,230.368469
98.1469,100,43,10923.25,1.0,4.3,21973.12,179.099000,22017.515000,216.621826
98.7334,100,44,10923.25,1.0,4.3,21973.12,135.895000,22153.410000,231.699289
99.5627,99,49,10923.25,1.1,4.3,21973.12,200.622000,22354.032000,241.927111
100.1444,100,44,10923.25,1.1,4.3,21972.14,114.732000,22468.764000,197.226613
100.9709,99,50,10923.25,1.1,4.3,21972.14,201.795000,22670.559000,244.160758
101.5554,100,44,10923.25,1.0,4.3,21972.14,113.700000,22784.259000,194.506814
102.3853,99,50,10923.25,1.1,4.3,21972.14,200.733000,22984.992000,241.885089
102.9725,100,48,10923.25,1.0,4.3,21972.14,131.843000,23116.835000,224.509947
103.8038,99,50,10923.25,1.1,4.3,21972.14,181.074000,23297.909000,217.830467
104.3919,100,50,10923.25,1.0,4.3,21972.14,132.229000,23430.138000,224.830146
105.2209,99,50,10923.25,1.0,4.3,21972.14,180.890000,23611.028000,218.220512
105.7995,100,51,10923.25,1.0,4.3,21972.14,132.635000,23743.663000,229.199213
