step,loss,step_s,forward_s,backward_s,optimizer_s,throughput_samp_per_s
179,8.900128,0.2830,0.0883,0.1752,0.0191,56.5316
180,8.902000,0.2846,0.0891,0.1760,0.0191,56.2152
181,8.906974,0.2852,0.0888,0.1770,0.0191,56.0918
182,8.913618,0.2848,0.0894,0.1759,0.0191,56.1848
183,8.887749,0.2859,0.0903,0.1761,0.0192,55.9554
184,8.891030,0.2853,0.0893,0.1764,0.0193,56.0800
185,8.898438,0.2846,0.0885,0.1765,0.0193,56.2225
186,8.882102,0.2829,0.0882,0.1752,0.0191,56.5667
187,8.891397,0.2829,0.0877,0.1757,0.0191,56.5656
188,8.916700,0.2848,0.0898,0.1754,0.0193,56.1817
189,8.900875,0.2832,0.0882,0.1753,0.0193,56.5009
190,8.904221,0.2851,0.0891,0.1764,0.0193,56.1163
191,8.912156,0.2838,0.0887,0.1757,0.0191,56.3722
192,8.895924,0.2835,0.0881,0.1760,0.0191,56.4333
193,8.886184,0.2849,0.0902,0.1752,0.0191,56.1696
194,8.898647,0.2842,0.0887,0.1760,0.0192,56.3000
195,8.878404,0.2835,0.0883,0.1756,0.0192,56.4403
196,8.882093,0.2851,0.0892,0.1763,0.0192,56.1271
197,8.871948,0.2829,0.0871,0.1763,0.0191,56.5587
198,8.891638,0.2836,0.0887,0.1753,0.0192,56.4216
199,8.896322,0.2853,0.0891,0.1766,0.0191,56.0856
200,8.888099,0.2836,0.0886,0.1754,0.0191,56.4093
201,8.879407,0.2830,0.0882,0.1751,0.0193,56.5452
202,8.897377,0.2859,0.0889,0.1775,0.0192,55.9578
203,8.901537,0.2854,0.0899,0.1759,0.0192,56.0713
204,8.916951,0.2830,0.0882,0.1752,0.0192,56.5284
205,8.874454,0.2847,0.0892,0.1760,0.0191,56.2001
206,8.888878,0.2846,0.0888,0.1760,0.0193,56.2172
207,8.892388,0.2836,0.0884,0.1756,0.0192,56.4236
208,8.904994,0.2835,0.0882,0.1757,0.0192,56.4391
209,8.875319,0.2859,0.0897,0.1766,0.0192,55.9611
210,8.907045,0.2835,0.0885,0.1754,0.0192,56.4446
211,8.890827,0.2839,0.0887,0.1756,0.0193,56.3568
212,8.899426,0.2848,0.0888,0.1765,0.0192,56.1723
213,8.900278,0.2852,0.0890,0.1766,0.0192,56.0913
214,8.887789,0.2857,0.0901,0.1760,0.0193,56.0060
215,8.887137,0.2859,0.0892,0.1772,0.0192,55.9572
216,8.878854,0.2837,0.0886,0.1756,0.0192,56.3916
217,8.882827,0.2825,0.0882,0.1748,0.0191,56.6297
218,8.861357,0.2826,0.0876,0.1755,0.0191,56.6159
219,8.887733,0.2844,0.0897,0.1751,0.0192,56.2567
220,8.884995,0.2840,0.0884,0.1761,0.0191,56.3456
221,8.882327,0.2858,0.0891,0.1771,0.0192,55.9887
222,8.901196,0.2836,0.0886,0.1754,0.0193,56.4114
223,8.901619,0.2834,0.0879,0.1760,0.0191,56.4581
224,8.887317,0.2854,0.0903,0.1756,0.0192,56.0519
225,8.891281,0.2838,0.0887,0.1755,0.0192,56.3823
226,8.860004,0.2834,0.0884,0.1754,0.0193,56.4522
227,8.873428,0.2851,0.0891,0.1764,0.0192,56.1210
228,8.872730,0.2829,0.0871,0.1764,0.0191,56.5484
229,8.886135,0.2835,0.0886,0.1755,0.0191,56.4290
230,8.902579,0.2854,0.0890,0.1768,0.0192,56.0709
231,8.896913,0.2839,0.0887,0.1758,0.0190,56.3585
232,8.886013,0.2831,0.0883,0.1752,0.0192,56.5250
233,8.901395,0.2852,0.0891,0.1766,0.0191,56.1062
234,8.907843,0.2847,0.0893,0.1758,0.0192,56.1980
235,8.884291,0.2830,0.0882,0.1752,0.0192,56.5413
236,8.889751,0.2855,0.0890,0.1769,0.0192,56.0418
237,8.884523,0.2846,0.0886,0.1764,0.0192,56.2234
238,8.886926,0.2834,0.0884,0.1755,0.0191,56.4662
239,8.910487,0.2831,0.0878,0.1755,0.0195,56.5217
240,8.888367,0.2858,0.0901,0.1763,0.0191,55.9792
241,8.873179,0.2833,0.0883,0.1755,0.0191,56.4838
242,8.895185,0.2847,0.0893,0.1758,0.0193,56.1977
243,8.879493,0.2856,0.0889,0.1773,0.0191,56.0197
244,8.875136,0.2850,0.0895,0.1760,0.0191,56.1407
245,8.875817,0.2836,0.0884,0.1756,0.0192,56.4166
246,8.877265,0.2862,0.0892,0.1776,0.0191,55.9056
247,8.878554,0.2848,0.0889,0.1764,0.0193,56.1707
248,8.910561,0.2834,0.0884,0.1756,0.0191,56.4544
249,8.877921,0.2833,0.0878,0.1759,0.0192,56.4864
250,8.864438,0.2850,0.0898,0.1757,0.0191,56.1380
251,8.884704,0.2831,0.0884,0.1753,0.0191,56.5265
252,8.883938,0.2850,0.0890,0.1765,0.0190,56.1454
253,8.885484,0.2839,0.0887,0.1757,0.0191,56.3672
254,8.880790,0.2833,0.0879,0.1759,0.0191,56.4728
255,8.898906,0.2847,0.0903,0.1750,0.0190,56.2005
256,8.890689,0.2837,0.0885,0.1754,0.0194,56.3908
257,8.871465,0.2831,0.0884,0.1752,0.0191,56.5257
258,8.890344,0.2857,0.0892,0.1770,0.0190,56.0106
259,8.887915,0.2830,0.0871,0.1763,0.0193,56.5316
260,8.882891,0.2837,0.0887,0.1756,0.0190,56.3993
261,8.885619,0.2851,0.0891,0.1764,0.0192,56.1167
262,8.879292,0.2835,0.0886,0.1754,0.0191,56.4356
263,8.880797,0.2833,0.0884,0.1754,0.0191,56.4767
264,8.868698,0.2856,0.0889,0.1771,0.0192,56.0255
265,8.867763,0.2857,0.0900,0.1763,0.0191,55.9958
266,8.893732,0.2832,0.0884,0.1752,0.0193,56.4957
267,8.885045,0.2846,0.0892,0.1760,0.0190,56.2210
268,8.880498,0.2846,0.0889,0.1760,0.0191,56.2174
269,8.878014,0.2839,0.0884,0.1758,0.0193,56.3513
270,8.875587,0.2836,0.0882,0.1759,0.0192,56.4080
271,8.892054,0.2861,0.0900,0.1767,0.0191,55.9277
272,8.876169,0.2842,0.0891,0.1756,0.0192,56.2992
273,8.862261,0.2839,0.0887,0.1756,0.0192,56.3533
274,8.864141,0.2853,0.0890,0.1768,0.0191,56.0858
275,8.893379,0.2849,0.0893,0.1759,0.0193,56.1619
276,8.893667,0.2840,0.0886,0.1758,0.0193,56.3438
277,8.885156,0.2859,0.0893,0.1769,0.0193,55.9612
278,8.882931,0.2845,0.0888,0.1759,0.0194,56.2311
279,8.876923,0.2829,0.0884,0.1750,0.0191,56.5645
280,8.884894,0.2832,0.0878,0.1760,0.0191,56.4932
281,8.891410,0.2854,0.0898,0.1760,0.0191,56.0674
282,8.883657,0.2833,0.0885,0.1753,0.0191,56.4702
283,8.889609,0.2846,0.0892,0.1760,0.0191,56.2178
284,8.878121,0.2841,0.0888,0.1757,0.0193,56.3148
285,8.859939,0.2840,0.0883,0.1760,0.0192,56.3397
286,8.872974,0.2850,0.0901,0.1754,0.0190,56.1413
287,8.892254,0.2850,0.0890,0.1765,0.0192,56.1323
288,8.888636,0.2834,0.0884,0.1754,0.0192,56.4585
289,8.884539,0.2846,0.0893,0.1758,0.0191,56.2254
290,8.849975,0.2829,0.0874,0.1759,0.0191,56.5636
291,8.879671,0.2848,0.0894,0.1759,0.0192,56.1761
292,8.876077,0.2848,0.0893,0.1758,0.0192,56.1892
293,8.856735,0.2856,0.0890,0.1770,0.0193,56.0214
294,8.876677,0.2840,0.0889,0.1756,0.0192,56.3333
295,8.872663,0.2838,0.0878,0.1765,0.0191,56.3799
